node,datetime,generator,Generation,Capacity Curtailed
Ancoa220,2024-01-28T08:00:00.000000,DIGUA,0.0,0.0
Ancoa220,2024-01-28T09:00:00.000000,DIGUA,0.0,0.0
Ancoa220,2024-01-28T10:00:00.000000,DIGUA,0.0,0.0
Ancoa220,2024-01-28T11:00:00.000000,DIGUA,0.0,0.0
Ancoa220,2024-01-28T12:00:00.000000,DIGUA,0.0,0.0
Ancoa220,2024-01-28T13:00:00.000000,DIGUA,0.0,0.0
Ancoa220,2024-01-28T14:00:00.000000,DIGUA,0.0,0.0
Ancoa220,2024-01-28T15:00:00.000000,DIGUA,0.0,0.0
Ancoa220,2024-01-28T16:00:00.000000,DIGUA,0.0,0.0
Ancoa220,2024-01-28T17:00:00.000000,DIGUA,0.0,0.0
Ancoa220,2024-01-28T18:00:00.000000,DIGUA,0.0,0.0
Ancoa220,2024-01-29T09:00:00.000000,DIGUA,0.0,0.0
Ancoa220,2024-01-30T09:00:00.000000,DIGUA,17.0,0.0
Tinguiririca154,2024-01-28T08:00:00.000000,EL_PASO,57.0,0.0
Tinguiririca154,2024-01-28T09:00:00.000000,EL_PASO,57.0,0.0
Tinguiririca154,2024-01-28T10:00:00.000000,EL_PASO,57.0,0.0
Tinguiririca154,2024-01-28T11:00:00.000000,EL_PASO,57.0,0.0
Tinguiririca154,2024-01-28T12:00:00.000000,EL_PASO,57.0,0.0
Tinguiririca154,2024-01-28T13:00:00.000000,EL_PASO,57.0,0.0
Tinguiririca154,2024-01-28T14:00:00.000000,EL_PASO,57.0,0.0
Tinguiririca154,2024-01-28T15:00:00.000000,EL_PASO,57.0,0.0
Tinguiririca154,2024-01-28T16:00:00.000000,EL_PASO,57.0,0.0
Tinguiririca154,2024-01-28T17:00:00.000000,EL_PASO,57.0,0.0
Tinguiririca154,2024-01-28T18:00:00.000000,EL_PASO,57.0,0.0
Tinguiririca154,2024-01-29T09:00:00.000000,EL_PASO,57.0,0.0
Tinguiririca154,2024-01-30T09:00:00.000000,EL_PASO,57.0,0.0
Florida110,2024-01-28T08:00:00.000000,FLORIDA_1,0.0,0.0
Florida110,2024-01-28T09:00:00.000000,FLORIDA_1,0.0,0.0
Florida110,2024-01-28T10:00:00.000000,FLORIDA_1,0.0,0.0
Florida110,2024-01-28T11:00:00.000000,FLORIDA_1,0.0,0.0
Florida110,2024-01-28T12:00:00.000000,FLORIDA_1,0.0,0.0
Florida110,2024-01-28T13:00:00.000000,FLORIDA_1,0.0,0.0
Florida110,2024-01-28T14:00:00.000000,FLORIDA_1,0.0,0.0
Florida110,2024-01-28T15:00:00.000000,FLORIDA_1,0.0,0.0
Florida110,2024-01-28T16:00:00.000000,FLORIDA_1,0.0,0.0
Florida110,2024-01-28T17:00:00.000000,FLORIDA_1,0.0,0.0
Florida110,2024-01-28T18:00:00.000000,FLORIDA_1,0.0,0.0
Florida110,2024-01-29T09:00:00.000000,FLORIDA_1,0.0,0.0
Florida110,2024-01-30T09:00:00.000000,FLORIDA_1,0.0,0.0
Florida110,2024-01-28T08:00:00.000000,FLORIDA_2,13.0,0.0
Florida110,2024-01-28T09:00:00.000000,FLORIDA_2,11.0,0.0
Florida110,2024-01-28T10:00:00.000000,FLORIDA_2,10.0,0.0
Florida110,2024-01-28T11:00:00.000000,FLORIDA_2,10.0,0.0
Florida110,2024-01-28T12:00:00.000000,FLORIDA_2,10.0,0.0
Florida110,2024-01-28T13:00:00.000000,FLORIDA_2,10.0,0.0
Florida110,2024-01-28T14:00:00.000000,FLORIDA_2,10.0,0.0
Florida110,2024-01-28T15:00:00.000000,FLORIDA_2,10.0,0.0
Florida110,2024-01-28T16:00:00.000000,FLORIDA_2,10.0,0.0
Florida110,2024-01-28T17:00:00.000000,FLORIDA_2,10.0,0.0
Florida110,2024-01-28T18:00:00.000000,FLORIDA_2,10.0,0.0
Florida110,2024-01-29T09:00:00.000000,FLORIDA_2,10.0,0.0
Florida110,2024-01-30T09:00:00.000000,FLORIDA_2,10.0,0.0
Florida110,2024-01-28T08:00:00.000000,FLORIDA_3,2.1,0.0
Florida110,2024-01-28T09:00:00.000000,FLORIDA_3,2.1,0.0
Florida110,2024-01-28T10:00:00.000000,FLORIDA_3,2.1,0.0
Florida110,2024-01-28T11:00:00.000000,FLORIDA_3,2.1,0.0
Florida110,2024-01-28T12:00:00.000000,FLORIDA_3,2.1,0.0
Florida110,2024-01-28T13:00:00.000000,FLORIDA_3,2.1,0.0
Florida110,2024-01-28T14:00:00.000000,FLORIDA_3,2.1,0.0
Florida110,2024-01-28T15:00:00.000000,FLORIDA_3,2.1,0.0
Florida110,2024-01-28T16:00:00.000000,FLORIDA_3,2.1,0.0
Florida110,2024-01-28T17:00:00.000000,FLORIDA_3,2.1,0.0
Florida110,2024-01-28T18:00:00.000000,FLORIDA_3,2.1,0.0
Florida110,2024-01-29T09:00:00.000000,FLORIDA_3,2.1,0.0
Florida110,2024-01-30T09:00:00.000000,FLORIDA_3,2.1,0.0
Polpaico220,2024-01-28T08:00:00.000000,HORNITOS_CH,40.0,0.0
Polpaico220,2024-01-28T09:00:00.000000,HORNITOS_CH,40.0,0.0
Polpaico220,2024-01-28T10:00:00.000000,HORNITOS_CH,40.0,0.0
Polpaico220,2024-01-28T11:00:00.000000,HORNITOS_CH,40.0,0.0
Polpaico220,2024-01-28T12:00:00.000000,HORNITOS_CH,40.0,0.0
Polpaico220,2024-01-28T13:00:00.000000,HORNITOS_CH,40.0,0.0
Polpaico220,2024-01-28T14:00:00.000000,HORNITOS_CH,40.0,0.0
Polpaico220,2024-01-28T15:00:00.000000,HORNITOS_CH,40.0,0.0
Polpaico220,2024-01-28T16:00:00.000000,HORNITOS_CH,40.0,0.0
Polpaico220,2024-01-28T17:00:00.000000,HORNITOS_CH,40.0,0.0
Polpaico220,2024-01-28T18:00:00.000000,HORNITOS_CH,40.0,0.0
Polpaico220,2024-01-29T09:00:00.000000,HORNITOS_CH,40.0,0.0
Polpaico220,2024-01-30T09:00:00.000000,HORNITOS_CH,0.0,0.0
Chillan154,2024-01-28T08:00:00.000000,ITATA,0.0,0.0
Chillan154,2024-01-28T09:00:00.000000,ITATA,0.0,0.0
Chillan154,2024-01-28T10:00:00.000000,ITATA,0.0,0.0
Chillan154,2024-01-28T11:00:00.000000,ITATA,0.0,0.0
Chillan154,2024-01-28T12:00:00.000000,ITATA,0.0,0.0
Chillan154,2024-01-28T13:00:00.000000,ITATA,0.0,0.0
Chillan154,2024-01-28T14:00:00.000000,ITATA,0.0,0.0
Chillan154,2024-01-28T15:00:00.000000,ITATA,0.0,0.0
Chillan154,2024-01-28T16:00:00.000000,ITATA,0.0,0.0
Chillan154,2024-01-28T17:00:00.000000,ITATA,0.0,0.0
Chillan154,2024-01-28T18:00:00.000000,ITATA,0.0,0.0
Chillan154,2024-01-29T09:00:00.000000,ITATA,0.0,0.0
Chillan154,2024-01-30T09:00:00.000000,ITATA,0.0,0.0
Polpaico220,2024-01-28T08:00:00.000000,JUNCAL,24.0,0.0
Polpaico220,2024-01-28T09:00:00.000000,JUNCAL,24.0,0.0
Polpaico220,2024-01-28T10:00:00.000000,JUNCAL,23.0,0.0
Polpaico220,2024-01-28T11:00:00.000000,JUNCAL,23.0,0.0
Polpaico220,2024-01-28T12:00:00.000000,JUNCAL,23.0,0.0
Polpaico220,2024-01-28T13:00:00.000000,JUNCAL,23.0,0.0
Polpaico220,2024-01-28T14:00:00.000000,JUNCAL,23.0,0.0
Polpaico220,2024-01-28T15:00:00.000000,JUNCAL,23.0,0.0
Polpaico220,2024-01-28T16:00:00.000000,JUNCAL,24.0,0.0
Polpaico220,2024-01-28T17:00:00.000000,JUNCAL,24.0,0.0
Polpaico220,2024-01-28T18:00:00.000000,JUNCAL,24.0,0.0
Polpaico220,2024-01-29T09:00:00.000000,JUNCAL,24.0,0.0
Polpaico220,2024-01-30T09:00:00.000000,JUNCAL,24.0,0.0
Polpaico220,2024-01-28T08:00:00.000000,JUNCALITO,0.5,0.0
Polpaico220,2024-01-28T09:00:00.000000,JUNCALITO,0.5,0.0
Polpaico220,2024-01-28T10:00:00.000000,JUNCALITO,0.5,0.0
Polpaico220,2024-01-28T11:00:00.000000,JUNCALITO,0.5,0.0
Polpaico220,2024-01-28T12:00:00.000000,JUNCALITO,0.5,0.0
Polpaico220,2024-01-28T13:00:00.000000,JUNCALITO,0.5,0.0
Polpaico220,2024-01-28T14:00:00.000000,JUNCALITO,0.5,0.0
Polpaico220,2024-01-28T15:00:00.000000,JUNCALITO,0.5,0.0
Polpaico220,2024-01-28T16:00:00.000000,JUNCALITO,0.5,0.0
Polpaico220,2024-01-28T17:00:00.000000,JUNCALITO,0.5,0.0
Polpaico220,2024-01-28T18:00:00.000000,JUNCALITO,0.5,0.0
Polpaico220,2024-01-29T09:00:00.000000,JUNCALITO,0.5,0.0
Polpaico220,2024-01-30T09:00:00.000000,JUNCALITO,0.5,0.0
Rucue220,2024-01-28T08:00:00.000000,LA_CONFIANZA,0.0,0.0
Rucue220,2024-01-28T09:00:00.000000,LA_CONFIANZA,0.0,0.0
Rucue220,2024-01-28T10:00:00.000000,LA_CONFIANZA,0.0,0.0
Rucue220,2024-01-28T11:00:00.000000,LA_CONFIANZA,0.0,0.0
Rucue220,2024-01-28T12:00:00.000000,LA_CONFIANZA,0.0,0.0
Rucue220,2024-01-28T13:00:00.000000,LA_CONFIANZA,0.0,0.0
Rucue220,2024-01-28T14:00:00.000000,LA_CONFIANZA,0.0,0.0
Rucue220,2024-01-28T15:00:00.000000,LA_CONFIANZA,0.0,0.0
Rucue220,2024-01-28T16:00:00.000000,LA_CONFIANZA,0.0,0.0
Rucue220,2024-01-28T17:00:00.000000,LA_CONFIANZA,0.0,0.0
Rucue220,2024-01-28T18:00:00.000000,LA_CONFIANZA,0.0,0.0
Rucue220,2024-01-29T09:00:00.000000,LA_CONFIANZA,0.0,0.0
Rucue220,2024-01-30T09:00:00.000000,LA_CONFIANZA,0.0,0.0
PNegro220,2024-01-28T08:00:00.000000,LA_CONFLUENCIA,130.0,0.0
PNegro220,2024-01-28T09:00:00.000000,LA_CONFLUENCIA,130.0,0.0
PNegro220,2024-01-28T10:00:00.000000,LA_CONFLUENCIA,130.0,0.0
PNegro220,2024-01-28T11:00:00.000000,LA_CONFLUENCIA,130.0,0.0
PNegro220,2024-01-28T12:00:00.000000,LA_CONFLUENCIA,130.0,0.0
PNegro220,2024-01-28T13:00:00.000000,LA_CONFLUENCIA,130.0,0.0
PNegro220,2024-01-28T14:00:00.000000,LA_CONFLUENCIA,130.0,0.0
